,exercise_name,num_reps
977,Tap Left Device,-1
978,Tap Right Device,-1
979,Triceps Kickback (knee on bench) (label spans both arms),30
980,"Two-arm Dumbbell Curl (both arms, not alternating)",21
981,V-up,15
982,Burpee,15
983,Device on Table,-1
984,Dip,20
985,Dumbbell Row (knee on bench) (label spans both arms),40
986,"Lunge (alternating both legs, weight optional)",15
987,Non-Exercise,-1
988,Overhead Triceps Extension,15
989,Plank,-1
990,Pushup (knee or foot variation),20
991,Shoulder Press (dumbbell),20
992,Sit-up (hands positioned behind head),20
993,"Squat (arms in front of body, parallel to ground)",30
994,Static stretch,-1
995,Tap Left Device,-1
996,Tap Right Device,-1
997,Triceps Kickback (knee on bench) (label spans both arms),30
998,"Two-arm Dumbbell Curl (both arms, not alternating)",20
999,V-up,20
1000,Burpee,11
1001,Device on Table,-1
1002,Dip,15
1003,Dumbbell Row (knee on bench) (label spans both arms),30
1004,"Lunge (alternating both legs, weight optional)",16
1005,Non-Exercise,-1
1006,Overhead Triceps Extension,17
1007,Plank,-1
1008,Pushup (knee or foot variation),18
1009,Shoulder Press (dumbbell),18
1010,Sit-up (hands positioned behind head),20
1011,"Squat (arms in front of body, parallel to ground)",22
1012,Static stretch,-1
1013,Tap Left Device,-1
1014,Tap Right Device,-1
1015,Triceps Kickback (knee on bench) (label spans both arms),30
1016,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1017,V-up,15
1018,Burpee,10
1019,Device on Table,-1
1020,Dip,10
1021,Dumbbell Row (knee on bench) (label spans both arms),30
1022,"Lunge (alternating both legs, weight optional)",20
1023,Non-Exercise,-1
1024,Overhead Triceps Extension,20
1025,Plank,-1
1026,Pushup (knee or foot variation),15
1027,Shoulder Press (dumbbell),20
1028,Sit-up (hands positioned behind head),15
1029,"Squat (arms in front of body, parallel to ground)",20
1030,Static stretch,-1
1031,Tap Left Device,-1
1032,Tap Right Device,-1
1033,Triceps Kickback (knee on bench) (label spans both arms),30
1034,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1035,V-up,9
1036,Arm Band Adjustment,-1
1037,Burpee,15
1038,Device on Table,-1
1039,Dip,17
1040,Dumbbell Row (knee on bench) (label spans both arms),30
1041,"Lunge (alternating both legs, weight optional)",20
1042,Non-Exercise,-1
1043,Overhead Triceps Extension,21
1044,Plank,-1
1045,Pushup (knee or foot variation),15
1046,Shoulder Press (dumbbell),17
1047,Sit-up (hands positioned behind head),16
1048,"Squat (arms in front of body, parallel to ground)",25
1049,Static stretch,-1
1050,Tap Left Device,-1
1051,Tap Right Device,-1
1052,Triceps Kickback (knee on bench) (label spans both arms),30
1053,"Two-arm Dumbbell Curl (both arms, not alternating)",21
1054,V-up,15
1055,Arm Band Adjustment,-1
1056,Burpee,15
1057,Device on Table,-1
1058,Dip,19
1059,Dumbbell Row (knee on bench) (label spans both arms),40
1060,"Lunge (alternating both legs, weight optional)",30
1061,Non-Exercise,-1
1062,Overhead Triceps Extension,20
1063,Plank,-1
1064,Pushup (knee or foot variation),20
1065,Shoulder Press (dumbbell),20
1066,Sit-up (hands positioned behind head),15
1067,"Squat (arms in front of body, parallel to ground)",30
1068,Static stretch,-1
1069,Tap Left Device,-1
1070,Tap Right Device,-1
1071,Triceps Kickback (knee on bench) (label spans both arms),30
1072,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1073,V-up,15
1074,Burpee,14
1075,Device on Table,-1
1076,Dip,21
1077,Dumbbell Row (knee on bench) (label spans both arms),30
1078,"Lunge (alternating both legs, weight optional)",16
1079,Non-Exercise,-1
1080,Overhead Triceps Extension,15
1081,Plank,-1
1082,Pushup (knee or foot variation),15
1083,Shoulder Press (dumbbell),20
1084,Sit-up (hands positioned behind head),20
1085,"Squat (arms in front of body, parallel to ground)",20
1086,Static stretch,-1
1087,Tap Left Device,-1
1088,Tap Right Device,-1
1089,Triceps Kickback (knee on bench) (label spans both arms),30
1090,"Two-arm Dumbbell Curl (both arms, not alternating)",26
1091,V-up,16
1092,Burpee,14
1093,Device on Table,-1
1094,Dip,20
1095,Dumbbell Row (knee on bench) (label spans both arms),30
1096,"Lunge (alternating both legs, weight optional)",20
1097,Non-Exercise,-1
1098,Overhead Triceps Extension,20
1099,Plank,-1
1100,Pushup (knee or foot variation),20
1101,Shoulder Press (dumbbell),20
1102,Sit-up (hands positioned behind head),20
1103,"Squat (arms in front of body, parallel to ground)",30
1104,Static stretch,-1
1105,Tap Left Device,-1
1106,Tap Right Device,-1
1107,Triceps Kickback (knee on bench) (label spans both arms),30
1108,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1109,V-up,20
1110,Burpee,11
1111,Device on Table,-1
1112,Dip,15
1113,Dumbbell Row (knee on bench) (label spans both arms),30
1114,"Lunge (alternating both legs, weight optional)",10
1115,Non-Exercise,-1
1116,Overhead Triceps Extension,15
1117,Plank,-1
1118,Pushup (knee or foot variation),15
1119,Shoulder Press (dumbbell),15
1120,Sit-up (hands positioned behind head),20
1121,"Squat (arms in front of body, parallel to ground)",20
1122,Static stretch,-1
1123,Tap Left Device,-1
1124,Tap Right Device,-1
1125,Triceps Kickback (knee on bench) (label spans both arms),20
1126,"Two-arm Dumbbell Curl (both arms, not alternating)",15
1127,V-up,15
1128,Burpee,10
1129,Device on Table,-1
1130,Dip,20
1131,Dumbbell Row (knee on bench) (label spans both arms),30
1132,"Lunge (alternating both legs, weight optional)",20
1133,Non-Exercise,-1
1134,Overhead Triceps Extension (label spans both arms),40
1135,Plank,-1
1136,Pushup (knee or foot variation),30
1137,Shoulder Press (dumbbell),15
1138,Sit-up (hands positioned behind head),20
1139,"Squat (arms in front of body, parallel to ground)",25
1140,Static stretch,-1
1141,Tap Left Device,-1
1142,Tap Right Device,-1
1143,Triceps Kickback (knee on bench) (label spans both arms),40
1144,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1145,V-up,15
1146,Burpee,10
1147,Device on Table,-1
1148,Dip,15
1149,Dumbbell Row (knee on bench) (label spans both arms),29
1150,"Lunge (alternating both legs, weight optional)",20
1151,Non-Exercise,-1
1152,Overhead Triceps Extension,20
1153,Plank,-1
1154,Pushup (knee or foot variation),15
1155,Shoulder Press (dumbbell),16
1156,Sit-up (hands positioned behind head),15
1157,"Squat (arms in front of body, parallel to ground)",15
1158,Static stretch,-1
1159,Tap Left Device,-1
1160,Tap Right Device,-1
1161,Triceps Kickback (knee on bench) (label spans both arms),31
1162,"Two-arm Dumbbell Curl (both arms, not alternating)",17
1163,V-up,13
1164,Band Pull-Down Row,60
1165,Biceps Curl (band),50
1166,Burpee,10
1167,Chest Press (rack),10
1168,Device on Table,-1
1169,Dip,10
1170,Dumbbell Row (knee on bench) (left arm),10
1171,Dumbbell Row (knee on bench) (right arm),10
1172,Elliptical machine,-1
1173,Lawnmower (left arm),20
1174,Lawnmower (right arm),20
1175,"Lunge (alternating both legs, weight optional)",20
1176,Medicine Ball Slam,20
1177,Non-Exercise,-1
1178,Overhead Triceps Extension,10
1179,Plank,-1
1180,Pushup (knee or foot variation),25
1181,Rowing machine,-1
1182,Running (treadmill),-1
1183,Shoulder Press (dumbbell),10
1184,Sit-up (hands positioned behind head),30
1185,"Squat (arms in front of body, parallel to ground)",10
1186,Squat (hands behind head),20
1187,Squat (kettlebell / goblet),20
1188,Static stretch,-1
1189,Tap Left Device,-1
1190,Tap Right Device,-1
1191,Triceps Kickback (knee on bench) (left arm),10
1192,Triceps Kickback (knee on bench) (right arm),10
1193,Triceps extension (lying down),20
1194,"Two-arm Dumbbell Curl (both arms, not alternating)",10
1195,Unlisted Exercise,-1
1196,V-up,10
1197,Wall Ball,21
1198,Butterfly Sit-up,18
1199,Crunch,30
1200,Device on Table,-1
1201,Dumbbell Squat (hands at side),25
1202,Dynamic Stretch (at your own pace),-1
1203,Fast Alternating Punches,100
1204,Jump Rope,-1
1205,Kettlebell Swing,22
1206,Lateral Raise,18
1207,Non-Exercise,-1
1208,Russian Twist,50
1209,Seated Back Fly,18
1210,Squat Rack Shoulder Press,14
1211,Static Stretch (at your own pace),-1
1212,Tap Left Device,-1
1213,Tap Right Device,-1
1214,Wall Squat,-1
1215,Butterfly Sit-up,20
1216,Crunch,20
1217,Device on Table,-1
1218,Dumbbell Squat (hands at side),20
1219,Dynamic Stretch (at your own pace),-1
1220,Fast Alternating Punches,100
1221,Jump Rope,-1
1222,Kettlebell Swing,20
1223,Lateral Raise,20
1224,Non-Exercise,-1
1225,Russian Twist,25
1226,Seated Back Fly,14
1227,Squat Rack Shoulder Press,2
1228,Static Stretch (at your own pace),-1
1229,Tap Left Device,-1
1230,Tap Right Device,-1
1231,Wall Squat,-1
1232,Arm Band Adjustment,-1
1233,Butterfly Sit-up,13
1234,Crunch,50
1235,Device on Table,-1
1236,Dumbbell Squat (hands at side),25
1237,Dynamic Stretch (at your own pace),-1
1238,Fast Alternating Punches,100
1239,Jump Rope,-1
1240,Kettlebell Swing,25
1241,Lateral Raise,1
1242,Non-Exercise,-1
1243,Russian Twist,44
1244,Seated Back Fly,13
1245,Squat Rack Shoulder Press,22
1246,Static Stretch (at your own pace),-1
1247,Tap Left Device,-1
1248,Tap Right Device,-1
1249,Wall Squat,-1
1250,Burpee,12
1251,Device on Table,-1
1252,Dip,20
1253,Dumbbell Row (knee on bench) (left arm),15
1254,Dumbbell Row (knee on bench) (right arm),15
1255,"Lunge (alternating both legs, weight optional)",21
1256,Non-Exercise,-1
1257,Overhead Triceps Extension,20
1258,Plank,-1
1259,Pushup (knee or foot variation),20
1260,Shoulder Press (dumbbell),15
1261,Sit-up (hands positioned behind head),20
1262,"Squat (arms in front of body, parallel to ground)",20
1263,Static stretch,-1
1264,Tap Left Device,-1
1265,Tap Right Device,-1
1266,Triceps Kickback (knee on bench) (left arm),12
1267,Triceps Kickback (knee on bench) (right arm),13
1268,"Two-arm Dumbbell Curl (both arms, not alternating)",15
1269,V-up,15
1270,Burpee,10
1271,Butterfly Sit-up,29
1272,Crunch,29
1273,Device on Table,-1
1274,Dip,20
1275,Dumbbell Row (knee on bench) (left arm),15
1276,Dumbbell Row (knee on bench) (right arm),15
1277,Dumbbell Squat (hands at side),25
1278,Dynamic Stretch (at your own pace),-1
1279,Fast Alternating Punches,-1
1280,Jump Rope,-1
1281,Kettlebell Swing,20
1282,Lateral Raise,20
1283,"Lunge (alternating both legs, weight optional)",24
1284,Non-Exercise,-1
1285,Overhead Triceps Extension,20
1286,Plank,-1
1287,Pushup (knee or foot variation),20
1288,Russian Twist,60
1289,Seated Back Fly,15
1290,Shoulder Press (dumbbell),20
1291,Sit-up (hands positioned behind head),20
1292,"Squat (arms in front of body, parallel to ground)",30
1293,Squat Rack Shoulder Press,20
1294,Static Stretch (at your own pace),-1
1295,Static stretch,-1
1296,Tap Left Device,-1
1297,Tap Right Device,-1
1298,Triceps Kickback (knee on bench) (left arm),15
1299,Triceps Kickback (knee on bench) (right arm),15
1300,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1301,V-up,20
1302,Wall Squat,-1
1303,Arm Band Adjustment,-1
1304,Band Pull-Down Row,15
1305,Biceps Curl (band),15
1306,Burpee,10
1307,Chest Press (rack),15
1308,Device on Table,-1
1309,Dip,15
1310,Dumbbell Row (knee on bench) (left arm),10
1311,Dumbbell Row (knee on bench) (right arm),10
1312,Elliptical machine,-1
1313,Lawnmower (left arm),15
1314,Lawnmower (right arm),15
1315,"Lunge (alternating both legs, weight optional)",21
1316,Medicine Ball Slam,14
1317,Non-Exercise,-1
1318,Overhead Triceps Extension,16
1319,Plank,-1
1320,Pushup (knee or foot variation),15
1321,Rowing machine,-1
1322,Running (treadmill),-1
1323,Shoulder Press (dumbbell),15
1324,Sit-up (hands positioned behind head),15
1325,"Squat (arms in front of body, parallel to ground)",20
1326,Squat (hands behind head),15
1327,Squat (kettlebell / goblet),15
1328,Static stretch,-1
1329,Tap Left Device,-1
1330,Tap Right Device,-1
1331,Triceps Kickback (knee on bench) (left arm),10
1332,Triceps Kickback (knee on bench) (right arm),10
1333,Triceps extension (lying down),15
1334,"Two-arm Dumbbell Curl (both arms, not alternating)",15
1335,V-up,15
1336,Wall Ball,15
1337,Band Pull-Down Row,16
1338,Biceps Curl (band),16
1339,Burpee,12
1340,Chest Press (rack),16
1341,Device on Table,-1
1342,Dip,16
1343,Dumbbell Row (knee on bench) (left arm),15
1344,Dumbbell Row (knee on bench) (right arm),15
1345,Elliptical machine,-1
1346,Lawnmower (left arm),16
1347,Lawnmower (right arm),16
1348,"Lunge (alternating both legs, weight optional)",20
1349,Medicine Ball Slam,16
1350,Non-Exercise,-1
1351,Overhead Triceps Extension,21
1352,Plank,-1
1353,Pushup (knee or foot variation),15
1354,Rowing machine,-1
1355,Running (treadmill),-1
1356,Shoulder Press (dumbbell),20
1357,Sit-up (hands positioned behind head),19
1358,"Squat (arms in front of body, parallel to ground)",21
1359,Squat (hands behind head),16
1360,Squat (kettlebell / goblet),15
1361,Static stretch,-1
1362,Tap Left Device,-1
1363,Tap Right Device,-1
1364,Triceps Kickback (knee on bench) (left arm),16
1365,Triceps Kickback (knee on bench) (right arm),14
1366,Triceps extension (lying down),16
1367,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1368,V-up,15
1369,Wall Ball,16
1370,Burpee,15
1371,Device on Table,-1
1372,Dip,15
1373,Dumbbell Row (knee on bench) (left arm),15
1374,Dumbbell Row (knee on bench) (right arm),15
1375,"Lunge (alternating both legs, weight optional)",20
1376,Non-Exercise,-1
1377,Overhead Triceps Extension,20
1378,Plank,-1
1379,Pushup (knee or foot variation),15
1380,Shoulder Press (dumbbell),20
1381,Sit-up (hands positioned behind head),10
1382,"Squat (arms in front of body, parallel to ground)",30
1383,Static stretch,-1
1384,Tap Left Device,-1
1385,Tap Right Device,-1
1386,Triceps Kickback (knee on bench) (left arm),10
1387,Triceps Kickback (knee on bench) (right arm),10
1388,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1389,V-up,10
1390,Burpee,10
1391,Device on Table,-1
1392,Dip,14
1393,Dumbbell Row (knee on bench) (left arm),15
1394,Dumbbell Row (knee on bench) (right arm),15
1395,"Lunge (alternating both legs, weight optional)",20
1396,Non-Exercise,-1
1397,Overhead Triceps Extension,15
1398,Plank,-1
1399,Pushup (knee or foot variation),15
1400,Shoulder Press (dumbbell),15
1401,Sit-up (hands positioned behind head),10
1402,"Squat (arms in front of body, parallel to ground)",20
1403,Static stretch,-1
1404,Tap Left Device,-1
1405,Tap Right Device,-1
1406,Triceps Kickback (knee on bench) (left arm),16
1407,Triceps Kickback (knee on bench) (right arm),15
1408,"Two-arm Dumbbell Curl (both arms, not alternating)",20
1409,V-up,15
1410,Burpee,21
1411,Device on Table,-1
1412,Dip,20
1413,Dumbbell Row (knee on bench) (left arm),20
1414,Dumbbell Row (knee on bench) (right arm),20
1415,"Lunge (alternating both legs, weight optional)",16
1416,Non-Exercise,-1
1417,Overhead Triceps Extension,20
1418,Plank,-1
1419,Pushup (knee or foot variation),20
1420,Shoulder Press (dumbbell),20
1421,Sit-up (hands positioned behind head),20
1422,"Squat (arms in front of body, parallel to ground)",30
1423,Static stretch,-1
1424,Tap Left Device,-1
1425,Tap Right Device,-1
1426,Triceps Kickback (knee on bench) (left arm),15
1427,Triceps Kickback (knee on bench) (right arm),15
1428,"Two-arm Dumbbell Curl (both arms, not alternating)",15
1429,V-up,20
1430,Burpee,9
1431,Device on Table,-1
1432,Dip,15
1433,Dumbbell Row (knee on bench) (left arm),20
1434,Dumbbell Row (knee on bench) (right arm),18
1435,"Lunge (alternating both legs, weight optional)",20
1436,Non-Exercise,-1
1437,Overhead Triceps Extension,13
1438,Plank,-1
1439,Pushup (knee or foot variation),20
1440,Shoulder Press (dumbbell),20
1441,Sit-up (hands positioned behind head),18
1442,"Squat (arms in front of body, parallel to ground)",20
1443,Static stretch,-1
1444,Tap Left Device,-1
1445,Tap Right Device,-1
1446,Triceps Kickback (knee on bench) (left arm),15
1447,Triceps Kickback (knee on bench) (right arm),19
1448,"Two-arm Dumbbell Curl (both arms, not alternating)",15
1449,V-up,20
1450,Burpee,10
1451,Device on Table,-1
1452,Dip,18
1453,Dumbbell Row (knee on bench) (left arm),15
1454,Dumbbell Row (knee on bench) (right arm),14
1455,"Lunge (alternating both legs, weight optional)",20
1456,Non-Exercise,-1
1457,Overhead Triceps Extension,20
1458,Plank,-1
1459,Pushup (knee or foot variation),20
1460,Repetitive Stretching,-1
1461,Shoulder Press (dumbbell),15
1462,Sit-up (hands positioned behind head),20
1463,"Squat (arms in front of body, parallel to ground)",25
1464,Tap Left Device,-1
1465,Tap Right Device,-1
1466,Triceps Kickback (knee on bench) (left arm),15
1467,Triceps Kickback (knee on bench) (right arm),15
1468,"Two-arm Dumbbell Curl (both arms, not alternating)",10
1469,V-up,15
1470,Arm Band Adjustment,-1
1471,Butterfly Sit-up,20
1472,Crunch,15
1473,Device on Table,-1
1474,Dumbbell Squat (hands at side),20
1475,Dynamic Stretch (at your own pace),-1
1476,Fast Alternating Punches,15
1477,Jump Rope,-1
1478,Kettlebell Swing,15
1479,Lateral Raise,5
1480,Non-Exercise,-1
1481,Russian Twist,20
1482,Seated Back Fly,15
1483,Squat Rack Shoulder Press,16
1484,Static Stretch (at your own pace),-1
1485,Tap Left Device,-1
1486,Tap Right Device,-1
1487,Wall Squat,-1
1488,Butterfly Sit-up,15
1489,Crunch,20
1490,Device on Table,-1
1491,Dumbbell Squat (hands at side),20
1492,Dynamic Stretch (at your own pace),-1
1493,Fast Alternating Punches,50
1494,Jump Rope,-1
1495,Kettlebell Swing,20
1496,Lateral Raise,15
1497,Non-Exercise,-1
1498,Russian Twist,44
1499,Seated Back Fly,15
1500,Squat Rack Shoulder Press,5
1501,Static Stretch (at your own pace),-1
1502,Tap Left Device,-1
1503,Tap Right Device,-1
1504,Wall Squat,-1
1505,Butterfly Sit-up,30
1506,Crunch,25
1507,Device on Table,-1
1508,Dumbbell Squat (hands at side),25
1509,Dynamic Stretch (at your own pace),-1
1510,Fast Alternating Punches,93
1511,Jump Rope,-1
1512,Kettlebell Swing,20
1513,Lateral Raise,20
1514,Non-Exercise,-1
1515,Repetitive Stretching,-1
1516,Rest,-1
1517,Russian Twist,40
1518,Seated Back Fly,16
1519,Squat Rack Shoulder Press,20
1520,Static Stretch (at your own pace),-1
1521,Tap Left Device,-1
1522,Tap Right Device,-1
1523,Unlisted Exercise,-1
1524,Wall Squat,-1
1525,Arm Band Adjustment,-1
1526,Butterfly Sit-up,30
1527,Crunch,27
1528,Device on Table,-1
1529,Dumbbell Squat (hands at side),25
1530,Dynamic Stretch (at your own pace),-1
1531,Fast Alternating Punches,94
1532,Jump Rope,-1
1533,Kettlebell Swing,20
1534,Lateral Raise,20
1535,Non-Exercise,-1
1536,Russian Twist,42
1537,Seated Back Fly,20
1538,Squat Rack Shoulder Press,20
1539,Static Stretch (at your own pace),-1
1540,Tap Left Device,-1
1541,Tap Right Device,-1
1542,Wall Squat,-1
1543,Band Pull-Down Row,27
1544,Biceps Curl (band),7
1545,Butterfly Sit-up,20
1546,Chest Press (rack),9
1547,Crunch,25
1548,Device on Table,-1
1549,Dumbbell Squat (hands at side),20
1550,Dynamic Stretch (at your own pace),-1
1551,Elliptical machine,-1
1552,Fast Alternating Punches,100
1553,Jump Rope,-1
1554,Kettlebell Swing,23
1555,Lateral Raise,14
1556,Lawnmower (left arm),16
1557,Lawnmower (right arm),17
1558,Medicine Ball Slam,17
1559,Non-Exercise,-1
1560,Repetitive Stretching,-1
1561,Rowing machine,-1
1562,Running (treadmill),-1
1563,Russian Twist,40
1564,Seated Back Fly,20
1565,Squat (hands behind head),20
1566,Squat (kettlebell / goblet),14
1567,Squat Rack Shoulder Press,21
1568,Static Stretch (at your own pace),-1
1569,Tap Left Device,-1
1570,Tap Right Device,-1
1571,Triceps extension (lying down),20
1572,Wall Ball,15
1573,Wall Squat,-1
1574,Butterfly Sit-up,20
1575,Crunch,10
1576,Device on Table,-1
1577,Dumbbell Squat (hands at side),10
1578,Dynamic Stretch (at your own pace),-1
1579,Fast Alternating Punches,100
1580,Jump Rope,-1
1581,Kettlebell Swing,20
1582,Lateral Raise,9
1583,Non-Exercise,-1
1584,Russian Twist,42
1585,Seated Back Fly,18
1586,Static Stretch (at your own pace),-1
1587,Tap Right Device,-1
1588,Wall Squat,-1
1589,Butterfly Sit-up,20
1590,Crunch,30
1591,Device on Table,-1
1592,Dumbbell Squat (hands at side),20
1593,Dynamic Stretch (at your own pace),-1
1594,Fast Alternating Punches,100
1595,Jump Rope,-1
1596,Kettlebell Swing,15
1597,Lateral Raise,15
1598,Non-Exercise,-1
1599,Russian Twist,25
1600,Seated Back Fly,15
1601,Squat Rack Shoulder Press,20
1602,Static Stretch (at your own pace),-1
1603,Tap Left Device,-1
1604,Tap Right Device,-1
1605,Wall Squat,-1
1606,Butterfly Sit-up,25
1607,Crunch,30
1608,Device on Table,-1
1609,Dumbbell Squat (hands at side),25
1610,Dynamic Stretch (at your own pace),-1
1611,Fast Alternating Punches,100
1612,Jump Rope,-1
1613,Kettlebell Swing,20
1614,Lateral Raise,15
1615,Non-Exercise,-1
1616,Repetitive Stretching,-1
1617,Rest,-1
1618,Russian Twist,50
1619,Seated Back Fly,15
1620,Squat Rack Shoulder Press,20
1621,Static Stretch (at your own pace),-1
1622,Tap Left Device,-1
1623,Tap Right Device,-1
1624,Wall Squat,-1
1625,Butterfly Sit-up,30
1626,Crunch,25
1627,Device on Table,-1
1628,Dumbbell Squat (hands at side),20
1629,Dynamic Stretch (at your own pace),-1
1630,Fast Alternating Punches,-1
1631,Jump Rope,-1
1632,Kettlebell Swing,15
1633,Lateral Raise,15
1634,Non-Exercise,-1
1635,Russian Twist,50
1636,Seated Back Fly,15
1637,Squat Rack Shoulder Press,15
1638,Static Stretch (at your own pace),-1
1639,Tap Left Device,-1
1640,Tap Right Device,-1
1641,Wall Squat,-1
1642,Butterfly Sit-up,25
1643,Crunch,30
1644,Device on Table,-1
1645,Dumbbell Squat (hands at side),25
1646,Dynamic Stretch (at your own pace),-1
1647,Fast Alternating Punches,100
1648,Jump Rope,-1
1649,Kettlebell Swing,20
1650,Lateral Raise,15
1651,Non-Exercise,-1
1652,Russian Twist,40
1653,Seated Back Fly,20
1654,Squat Rack Shoulder Press,20
1655,Static Stretch (at your own pace),-1
1656,Tap Left Device,-1
1657,Tap Right Device,-1
1658,Wall Squat,-1
1659,Butterfly Sit-up,20
1660,Crunch,30
1661,Device on Table,-1
1662,Dumbbell Squat (hands at side),20
1663,Dynamic Stretch (at your own pace),-1
1664,Fast Alternating Punches,100
1665,Jump Rope,-1
1666,Kettlebell Swing,20
1667,Lateral Raise,15
1668,Non-Exercise,-1
1669,Rest,-1
1670,Russian Twist,50
1671,Seated Back Fly,21
1672,Squat Rack Shoulder Press,13
1673,Static Stretch (at your own pace),-1
1674,Tap Left Device,-1
1675,Tap Right Device,-1
1676,Wall Squat,-1
1677,Band Pull-Down Row,21
1678,Biceps Curl (band),15
1679,Butterfly Sit-up,22
1680,Chest Press (rack),20
1681,Crunch,19
1682,Device on Table,-1
1683,Dumbbell Squat (hands at side),20
1684,Dynamic Stretch (at your own pace),-1
1685,Elliptical machine,-1
1686,Fast Alternating Punches,-1
1687,Jump Rope,-1
1688,Kettlebell Swing,19
1689,Lateral Raise,15
1690,Lawnmower (left arm),15
1691,Lawnmower (right arm),15
1692,Medicine Ball Slam,20
1693,Non-Exercise,-1
1694,Rowing machine,-1
1695,Running (treadmill),-1
1696,Russian Twist,40
1697,Seated Back Fly,15
1698,Squat (hands behind head),20
1699,Squat (kettlebell / goblet),20
1700,Squat Rack Shoulder Press,14
1701,Static Stretch (at your own pace),-1
1702,Tap Left Device,-1
1703,Tap Right Device,-1
1704,Triceps extension (lying down),19
1705,Wall Ball,20
1706,Wall Squat,-1
1707,Butterfly Sit-up,30
1708,Crunch,30
1709,Device on Table,-1
1710,Dumbbell Squat (hands at side),25
1711,Dynamic Stretch (at your own pace),-1
1712,Fast Alternating Punches,100
1713,Jump Rope,-1
1714,Kettlebell Swing,20
1715,Lateral Raise,15
1716,Non-Exercise,-1
1717,Russian Twist,20
1718,Seated Back Fly,1
1719,Squat Rack Shoulder Press,15
1720,Static Stretch (at your own pace),-1
1721,Tap Left Device,-1
1722,Tap Right Device,-1
1723,Wall Squat,-1
1724,Arm Band Adjustment,-1
1725,Butterfly Sit-up,25
1726,Crunch,36
1727,Device on Table,-1
1728,Dumbbell Squat (hands at side),25
1729,Dynamic Stretch (at your own pace),-1
1730,Fast Alternating Punches,100
1731,Jump Rope,-1
1732,Kettlebell Swing,25
1733,Lateral Raise,10
1734,Non-Exercise,-1
1735,Russian Twist,50
1736,Seated Back Fly,15
1737,Squat Rack Shoulder Press,15
1738,Static Stretch (at your own pace),-1
1739,Tap Left Device,-1
1740,Tap Right Device,-1
1741,Wall Squat,-1
1742,Arm Band Adjustment,-1
1743,Crunch,20
1744,Device on Table,-1
1745,Dumbbell Squat (hands at side),21
1746,Dynamic Stretch (at your own pace),-1
1747,Fast Alternating Punches,100
1748,Jump Rope,-1
1749,Kettlebell Swing,20
1750,Lateral Raise,20
1751,Non-Exercise,-1
1752,Rest,-1
1753,Russian Twist,40
1754,Seated Back Fly,5
1755,Squat Rack Shoulder Press,15
1756,Static Stretch (at your own pace),-1
1757,Tap Left Device,-1
1758,Tap Right Device,-1
1759,Wall Squat,-1
1760,Band Pull-Down Row,15
1761,Biceps Curl (band),15
1762,Butterfly Sit-up,25
1763,Chest Press (rack),15
1764,Crunch,20
1765,Device on Table,-1
1766,Dumbbell Squat (hands at side),20
1767,Dynamic Stretch (at your own pace),-1
1768,Elliptical machine,-1
1769,Fast Alternating Punches,100
1770,Jump Rope,-1
1771,Kettlebell Swing,15
1772,Lateral Raise,15
1773,Lawnmower (left arm),15
1774,Lawnmower (right arm),14
1775,Medicine Ball Slam,15
1776,Non-Exercise,-1
1777,Rest,-1
1778,Rowing machine,-1
1779,Running (treadmill),-1
1780,Russian Twist,48
1781,Seated Back Fly,15
1782,Squat (hands behind head),15
1783,Squat (kettlebell / goblet),14
1784,Squat Rack Shoulder Press,15
1785,Static Stretch (at your own pace),-1
1786,Tap Left Device,-1
1787,Tap Right Device,-1
1788,Triceps extension (lying down),15
1789,Wall Ball,15
1790,Wall Squat,-1
1791,Band Pull-Down Row,27
1792,Biceps Curl (band),30
1793,Butterfly Sit-up,21
1794,Chest Press (rack),21
1795,Crunch,49
1796,Device on Table,-1
1797,Dumbbell Squat (hands at side),20
1798,Elliptical machine,-1
1799,Fast Alternating Punches,50
1800,Jump Rope,-1
1801,Kettlebell Swing,18
1802,Lateral Raise,12
1803,Lawnmower (left arm),21
1804,Lawnmower (right arm),23
1805,Medicine Ball Slam,28
1806,Non-Exercise,-1
1807,Repetitive Stretching,-1
1808,Rowing machine,-1
1809,Running (treadmill),-1
1810,Russian Twist,50
1811,Seated Back Fly,20
1812,Squat (hands behind head),30
1813,Squat (kettlebell / goblet),19
1814,Squat Rack Shoulder Press,15
1815,Static Stretch (at your own pace),-1
1816,Tap Left Device,-1
1817,Tap Right Device,-1
1818,Triceps extension (lying down),14
1819,Wall Ball,17
1820,Wall Squat,-1
1821,Butterfly Sit-up,30
1822,Crunch,30
1823,Device on Table,-1
1824,Dumbbell Squat (hands at side),20
1825,Dynamic Stretch (at your own pace),-1
1826,Fast Alternating Punches,100
1827,Jump Rope,-1
1828,Kettlebell Swing,25
1829,Lateral Raise,19
1830,Non-Exercise,-1
1831,Rest,-1
1832,Russian Twist,20
1833,Seated Back Fly,15
1834,Squat Rack Shoulder Press,15
1835,Static Stretch (at your own pace),-1
1836,Tap Left Device,-1
1837,Tap Right Device,-1
1838,Wall Squat,-1
